# Label: Y
# Hands: Left (first) + Right (second)
# Timestamp: 2025-11-12 21:29:19
# Samples per hand: 50
# Normalization: Min-Max on X and Y axes
# Order: First 50 samples of Left hand, then 50 samples of Right hand
sample,hand_type,landmark_id,landmark_name,x_norm,y_norm,z_norm
3,Left,17,PINKY_MCP,0.04532898679185906,0.4801545041105764,0.40968817345466935
3,Left,18,PINKY_PIP,0.006610401387215362,0.26643428781143424,0.18707347359426618
3,Left,19,PINKY_DIP,0.0,0.12940289600150767,0.06340412319909412
3,Left,20,PINKY_TIP,0.009278842232293362,0.0,0.0
4,Left,0,WRIST,0.27447027536170837,1.0,0.9795331418042991
4,Left,1,THUMB_CMC,0.512888594651706,0.8693165729692046,0.859214030448618
4,Left,2,THUMB_MCP,0.7181472567835109,0.6522793841904324,0.6971574003310969
4,Left,3,THUMB_IP,0.8636953246831076,0.5065400443073629,0.4583172643864297
4,Left,4,THUMB_TIP,1.0,0.41657098677222015,0.2666445879018405
4,Left,5,INDEX_FINGER_MCP,0.4848896082211162,0.42773505452514965,1.0
